"var","code","label"
"prep",1,"washing hands more often"
"prep",2,"using alcohol-based hand sanitizer more often"
"prep",3,"wearing a face mask"
"prep",4,"avoiding social events"
"prep",5,"avoiding public transport"
"prep",6,"eating out less"
"prep",7,"touching your face less"
"prep",8,"shopping for groceries less"
"prep",9,"cooking at home more"
"prep",10,"staying home from work"
"prep",11,"purchasing extra supplies"
"Govresponse_1",1,"not at all"
"Govresponse_1",7,"very much"
"Govresponse_2",1,"not at all"
"Govresponse_2",7,"very much"
"Govresponse_3",1,"not at all"
"Govresponse_3",7,"very much"
"Govresponse_4",1,"not at all"
"Govresponse_4",7,"very much"
"Govresponse_5",1,"not at all"
"Govresponse_5",7,"very much"
"Govresponse_6",1,"not at all"
"Govresponse_6",7,"very much"
"Govresponse_7",1,"not at all"
"Govresponse_7",7,"very much"
"Govresponse_8",1,"not at all"
"Govresponse_8",7,"very much"
"Govresponse_9",1,"not at all"
"Govresponse_9",7,"very much"
"Govrestrict_1",1,"not firm enough with restrictions on people"
"Govrestrict_1",7,"putting too many restrictions on people"
"Govrestrict_2",1,"not firm enough with restrictions on people"
"Govrestrict_2",7,"putting too many restrictions on people"
"Govrestrict_3",1,"not firm enough with restrictions on people"
"Govrestrict_3",7,"putting too many restrictions on people"
"Sciunderstand",1,"very limited understanding"
"Sciunderstand",7,"very good understanding"
"KnowledgeCert_1",1,"very certain"
"KnowledgeCert_1",7,"very uncertain"
"KnowledgeCert_2",1,"very certain"
"KnowledgeCert_2",7,"very uncertain"
"Vaccine_1",1,"yes"
"Vaccine_1",2,"no"
"Vaccine_2",1,"yes"
"Vaccine_2",2,"no"
"Num1",NA,NA
"Num2a",NA,NA
"Num2b",NA,NA
"Num3",NA,NA
"NumeracyQ1",1,"1 in 10"
"NumeracyQ1",2,"1 in 1000"
"NumeracyQ1",3,"1 in 100"
"DemAge",NA,NA
"DemEdu",1,"no formal above 16"
"DemEdu",2,NA
"DemEdu",3,NA
"DemEdu",4,NA
"DemEdu",5,"Masters"
"DemEdu",6,NA
"DemEdu",7,NA
"DemEdu",8,NA
"DemEdu",9,"doctorate"
"DemHealthcare",1,"yes"
"DemHealthcare",2,"no"
"Ethnic min",1,"yes"
"Ethnic min",2,"no"
"Politics",1,"very left"
"Politics",7,"very right"
