"row_id","var_group","var","question"
2,"Longitude","Longitude_1","� 1 week ago?"
1,"Longitude","Longitude_2",""
2,"Longitude","Longitude_2","�1 month ago?"
1,"Longitude","Longitude_3",""
2,"Longitude","Longitude_3","�2 months ago?"
0,"MediaExp",NA,"Have you come across information about coronavirus/COVID-19 from:"
1,"MediaExp","MediaExp_1",""
2,"MediaExp","MediaExp_1","Official public posters"
1,"MediaExp","MediaExp_2",""
2,"MediaExp","MediaExp_2","Social media or online blogs from individuals"
1,"MediaExp","MediaExp_3",""
2,"MediaExp","MediaExp_3","Journalists and commentators in the media (TV, radio, newspapers)"
1,"MediaExp","MediaExp_4",""
2,"MediaExp","MediaExp_4","Government or official sources such as websites or public speeches/broadcasts within the country you are living in"
1,"MediaExp","MediaExp_5",""
2,"MediaExp","MediaExp_5","Official messages from your place of work or education"
1,"MediaExp","MediaExp_6",""
2,"MediaExp","MediaExp_6","Friends and family"
1,"MediaExp","MediaExp_7",""
2,"MediaExp","MediaExp_7","World Health Organisation"
0,"Numeracy",NA,"Numeracy questions"
1,"Numeracy","Num1","Out of 1,000 people in a small town 500 are members of a choir. Out of these 500 members in the choir 100 are men. Out of the 500 inhabitants that are not in the choir 300 are men. What is the probability that a randomly drawn man is a member of the choir? Please indicate the probability in percent. ____ %"
2,"Numeracy","Num1",""
1,"Numeracy","Num2a","Imagine we are throwing a five-sided die 50 times. On average, out of these 50 throws how many times would this five-sided die show an odd number (1, 3 or 5)? ____ out of 50 throws."
2,"Numeracy","Num2a",""
1,"Numeracy","Num2b","Imagine we are throwing a loaded die (6 sides) 70 times. The probability that the die shows a 6 is twice as high as the probability of each of the other numbers. On average, out of these 70 throws how many times would the die show the number 6? ____ out of 70 throws."
2,"Numeracy","Num2b",""
1,"Numeracy","Num3","In a forest 20% of mushrooms are red, 50% brown and 30% white. A red mushroom is poisonous with a probability of 20%. A mushroom that is not red is poisonous with a probability of 5%. What is the probability that a poisonous mushroom in the forest is red? ____ %"
2,"Numeracy","Num3",""
1,"Numeracy","NumeracyQ1","Which represents the highest risk of something happening?"
2,"Numeracy","NumeracyQ1",""
0,"Personal",NA,"How likely do you think it is that you will be directly and personally affected by the following in the next 6 months?"
1,"Personal","Personal_1",""
2,"Personal","Personal_1","Crime"
1,"Personal","Personal_2",""
2,"Personal","Personal_2","Financial problems"
1,"Personal","Personal_3",""
2,"Personal","Personal_3","Discrimination"
1,"Personal","Personal_4",""
2,"Personal","Personal_4","Indecent or antisocial behaviour by others"
1,"Personal","Personal_5",""
2,"Personal","Personal_5","Injustice"
1,"Personal","Personal_6",""
2,"Personal","Personal_6","Corruption or fraud"
1,"Personal","Personal_7",""
2,"Personal","Personal_7","Immigration"
1,"Personal","Personal_8",""
2,"Personal","Personal_8","Catching the coronavirus/COVID-19"
1,"Politics","Politics","Where do you feel your political views lie on a spectrum of left wing (or liberal) to right wing (or conservative)?"
2,"Politics","Politics",""
1,"prep","prep","Which of the following steps, if any, have you taken in the last month to prepare for the possibility of many cases of the coronavirus/COVID-19 in your community? Select all that apply."
2,"prep","prep",""
1,"prosocial","prosocial","To what extent do you think it�s important to do things for the benefit of others and society even if they have some costs to you personally?"
2,"prosocial","prosocial",""
1,"quota_age","quota_age","What is your age?"
2,"quota_age","quota_age",""
1,"Residency","Residency","In which country do you currently live?"
2,"Residency","Residency",""
1,"SARS","SARS","Have you personally been affected by a previous similar epidemic, such as SARS (Severe Acute Respiratory Syndrome), MERS (Middle East Respiratory Syndrome) or Ebola?"
2,"SARS","SARS",""
1,"Sciunderstand","Sciunderstand","To what extent do you think scientists have a good understanding of the coronavirus/COVID-19?"
2,"Sciunderstand","Sciunderstand",""
1,"Soughtinfo","Soughtinfo","Have you sought out information specifically about coronavirus/COVID-19?"
2,"Soughtinfo","Soughtinfo",""
0,"Trustingroups",NA,"How much do you trust each of the following?"
1,"Trustingroups","Trustingroups_1",""
2,"Trustingroups","Trustingroups_1","People in your family"
1,"Trustingroups","Trustingroups_10",""
2,"Trustingroups","Trustingroups_10","Journalists"
1,"Trustingroups","Trustingroups_11",""
2,"Trustingroups","Trustingroups_11","The current government of the country you are living in"
1,"Trustingroups","Trustingroups_12",""
2,"Trustingroups","Trustingroups_12","Scientific knowledge"
1,"Trustingroups","Trustingroups_13",""
2,"Trustingroups","Trustingroups_13","Civil servants or public officials in the country you are living in"
1,"Trustingroups","Trustingroups_2",""
2,"Trustingroups","Trustingroups_2","People in your neighbourhood"
1,"Trustingroups","Trustingroups_3",""
2,"Trustingroups","Trustingroups_3","People you work or study with"
1,"Trustingroups","Trustingroups_4",""
2,"Trustingroups","Trustingroups_4","People who speak a different language from you"
1,"Trustingroups","Trustingroups_5",""
2,"Trustingroups","Trustingroups_5","Strangers"
1,"Trustingroups","Trustingroups_6",""
2,"Trustingroups","Trustingroups_6","Immigrants"
1,"Trustingroups","Trustingroups_7",""
2,"Trustingroups","Trustingroups_7","Medical doctors and nurses"
1,"Trustingroups","Trustingroups_8",""
2,"Trustingroups","Trustingroups_8","Scientists"
1,"Trustingroups","Trustingroups_9",""
2,"Trustingroups","Trustingroups_9","Politicians in the country you are living in"
0,"Vaccine",NA,"If a vaccine were to be available for the coronavirus/COVID-19 now:"
1,"Vaccine","Vaccine_1",""
2,"Vaccine","Vaccine_1","Would you get vaccinated yourself?"
1,"Vaccine","Vaccine_2",""
2,"Vaccine","Vaccine_2","Would you recommend vulnerable friends/family to get vaccinated?"
